song,artist,genre,mood,language
Teeth,5 Seconds of Summer,Pop Rock,Energetic,English
Youngblood,5 Seconds of Summer,Pop Rock,Energetic,English
Take On Me,a-ha,Synth-Pop,Energetic,English
Coffee,A!ka,Pop,,English
Super Trouper,ABBA,Disco,Sad,English
Why Did it Have to be Me,ABBA,Disco,Sad,English
"Andante, Andante",ABBA,Pop,Love,English
Fernando,ABBA,Pop,Nostalgic,English
"Money, Money, Money",ABBA,Disco,Happy,English
Take a Chance on Me,ABBA,Disco,Energetic,English
I Have A Dream,ABBA,Pop,Happy,English
Thank You For The Music,ABBA,Pop,Love,English
Dancing Queen,ABBA,Disco,Happy,English
The Winner Takes It All,ABBA,Pop,Sad,English
Gimme! Gimme! Gimme!,ABBA,Disco,Energetic,English
Mamma Mia,ABBA,Disco,Happy,English
When I Kissed the Teacher,ABBA,Pop,Happy,English
My Love My Life,ABBA,Pop,Sad,English
I've Been Waiting for You,ABBA,Pop,Love,English
Lay All Your Love on Me,ABBA,Disco,Love,English
Waterloo,ABBA,Pop,Energetic,English
Highway to Hell,AC/DC,Hard Rock,Energetic,English
Thunderstruck,AC/DC,Hard Rock,Energetic,English
Someone Like You,Adele,Pop Ballad,Sad,English
Skyfall,Adele,Pop,Energetic,English
Easy on Me,Adele,Pop Ballad,Sad,English
Set Fire to the Rain,Adele,Pop,Energetic,English
Rolling in the Deep,Adele,Pop,Energetic,English
Make You Feel my Love,Adele,Pop Ballad,Love,English
Hello,Adele,Pop Ballad,Sad,English
Chasing Pavements,Adele,Pop,Sad,English
Send My Love,Adele,Pop,Energetic,English
Rumor Has It,Adele,Pop,Happy,English
Kira Kira,Ado,J-Pop,Energetic,Japanese
New Genesis,Ado,J-Pop,Energetic,Japanese
Backlight,Ado,J-Pop,Sad,Japanese
Usseewa,Ado,J-Rock,Angry,Japanese
I Don't Wanna Miss a Thing,Aerosmith,Rock Ballad,Love,English
Miss Murder,AFI,Punk Rock,Halloween,English
I will Go to You Like the Winter Snow,Ailee,K-Pop,Love,Korean
One Jump Ahead,Aladdin,Disney,Happy,English
Friend Like Me,Aladdin,Disney,Energetic,English
Prince Ali,Aladdin,Disney,Happy,English
A Whole New World,Aladdin,Disney,Love,English
Here,Alessia Cara,R&B,Chill,English
Damned if I Do Ya,All Time Low,Pop Punk,Energetic,English
Screw Loose,Alli Mauzey,Musical Theatre,Angry,English
Valene,Amy Winehouse,Soul,Chill,English
You Know I'm No Good,Amy Winehouse,Soul,Love,English
The Girl from Ipanema,Amy Winehouse,Bossa Nova,Chill,English
Back to Black,Amy Winehouse,Soul,Sad,English
Once Upon a December,Anastasia,Musical,Nostalgic,English
A Rumor in St Petersburg,Anastasia,Musical,Happy,English
In My Dreams,Anastasia,Musical,Happy,English
Learn to Do It,Anastasia,Musical,Happy,English
The Neva Flows,Anastasia,Musical,Halloween,English
My Petersburg,Anastasia,Musical,Nostalgic,English
"Stay, I Pray You",Anastasia,Musical,Sad,English
Journey to the Past,Anastasia,Musical,Happy,English
In a Crowd of Thousands,Anastasia,Musical,Love,English
In the Dark of the Night,Anastasia,Musical,Halloween,English
Spooky Scary Skeletons,Andrew Gold,Halloween,Halloween,English
It's the Most Wonderful Time of the Year,Andy Williams,Christmas,Christmas,English
La Llorona,Angela Aguilar,Ranchera,Sad,Spanish
It's a hard knock life,Annie,Musical,Sad,English
Tomorrow,Annie,Musical,Happy,English
You're Never Fully Dressed Without a Smile,Annie,Musical,Happy,English
Barbie Girl,Aqua,Eurodance,Happy,English
I Wanna be Yours,Arctic Monkeys,Indie Rock,Love,English
Say a Little Prayer,Aretha Franklin,Soul,Love,English
Love Me Harder,Ariana Grande,Pop,Love,English
Into You,Ariana Grande,Pop,Love,English
Dangerous Woman,Ariana Grande,Pop,Energetic,English
"thank u, next",Ariana Grande,Pop,Chill,English
Needy,Ariana Grande,Pop,Sad,English
Break Free,Ariana Grande,Pop,Energetic,English
We Can't Be Friends,Ariana Grande,Pop,Sad,English
Santa Tell,Ariana Grande,Christmas,Christmas,English
NASA,Ariana Grande,Pop,Chill,English
Noble Maiden Fair,Ashley Serena,Folk,Chill,English
Moon River,Audrey Hepburn,Jazz,Nostalgic,English
Using the Internet for French,Austin Weber,Comedy,Happy,English
A Little Piece of Heaven,Avenged Sevenfold,Metal,Halloween,English
Girlfriend,Avril Lavigne,Pop Punk,Energetic,English
What the Hell,Avril Lavigne,Pop Punk,Energetic,English
Complicated,Avril Lavigne,Pop Punk,Sad,English
Sk8r Boi,Avril Lavigne,Pop Punk,Energetic,English
Hare Hare Yukai,Aya Hirano,Anime,Happy,Japanese
God Knows,Aya Hirano,Anime,Energetic,Japanese
Everybody,Backstreet Boys,Pop,Energetic,English
I Want it That Way,Backstreet Boys,Pop,Love,English
Heartbreaker,Bad Suns,Indie Rock,Sad,English
Down by the River,Baldurs Gate 3,Folk,Sad,English
Pompeii,Bastille,Indie Pop,Energetic,English
Edamame,BBNo$,Hip-Hop,Happy,English
Let it Be,Beatles,Rock,Chill,English
Here Comes the Sun,Beatles,Rock,Happy,English
Yesterday,Beatles,Rock,Sad,English
Let it Be,Beatles,Rock,Chill,English
Blackbird,Beatles,Folk Rock,Happy,English
Hey Jude,Beatles,Rock,Happy,English
Golden Summers,Beatles,Rock,Nostalgic,English
Sgt Pepper's Lonely Hearts Club Band,Beatles,Rock,Energetic,English
Gaston,Beauty and the Beast,Disney,Happy,English
Belle,Beauty and the Beast,Disney,Happy,English
Beauty and the Beast,Beauty and the Beast,Disney,Love,English
